SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              430000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              435000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              440000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              445000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              450000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              455000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              460000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              465000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              470000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              475000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              480000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              485000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              490000 , clock=0 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
 time=              495000 , clock=1 , reset=0 , req_floor=0 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=0 , Emergency_stop=0 , current_floor=0 , min_request=0 , max_request=7 , requests=00 
SIMULATION COMPLETED !
